ID,Question,Answer
TQ0323,And did you like it?,That’s a good question.
TQ0097,And what do you want to do after university?,"After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything."
TQ0054,And which country that you’ve visited is your favorite one so far?,My favorite country is Argentina!
TQ0261,Are you a clean or messy person?,"I am super clean, and I love to say that my room is the state of my mind - once something goes wrong in my life, my room becomes messy instantly."
TQ0274,Are you a romantic person?,Probably yes. But what I can tell you for sure is that I am really affectionate.
TQ0120,Are you good at playing the cello?,"I’ve played the cello for less than a year, so I’m probably not that good."
TQ0124,Are you good at playing the flute?,"I’ve played the flute for less than a year, so I’m probably not that good."
TQ0122,Are you good at playing the ukulele?,"I’ve played the ukulele for less than a year, so I’m probably not that good."
TQ0286,Are you religious?,"No, but I believe in the existence of something that we humans haven’t discovered yet."
TQ0245,Can you dance?,Yes! WATCH ME
TQ0101,Can you play some flute for me?,Sure! *plays flute*
TQ0078,Can you say something in French?,Bien sur! Je m’appelle Marguerite et j’ai vingt ans.
TQ0076,Can you say something in Romanian,Desigur. Ma numesc Margarita si am 20 de ani.
TQ0056,Can you say something in Spanish?,"Si, porque no? Mi nombre es Margarita y tengo 20 años."
TQ0084,Can you sing something of your own?,"I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!"
TQ0007,Can you understand me?,Of course I can understand you.
TQ0006,Can you understand me?,Why wouldn’t I be able to understand you?
TQ0037,"Did you apply to other universities, too?",Actually I didn’t apply to other universities! But that’s because I applied very early so I had plenty of time to figure out other universities in case I wasn’t admitted.
TQ0025,Did you consider going to a Moldovan university?,"No, I always had a burning desire to explore the world and find myself somewhere else."
TQ0105,Did you go to a musical school?,"I did when I was in Moldova, but not officially, so I don’t have a diploma."
TQ0109,Did you have music classes in your school?,"We had one music class in school, but it wasn’t very educational."
TQ0279,Do you collect anything?,I don’t.
TQ0110,Do you compose your own piano songs?,"I do, but unfortunately I don’t have a piano with me right now!"
TQ0170,Do you go out in Abu Dhabi a lot?,"Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away."
TQ0175,Do you go to Dubai a lot?,"No, because I like it here a lot and I don’t have time to party."
TQ0214,Do you have a boyfriend?,"Yes, but I like to keep things like this private."
TQ0216,Do you have a bucket list?,"Before I die, I really want to have written a lot of music, have at least 2 children and help my parents travel."
TQ0179,Do you have a pet peeve?,I don’t like it when people interrupt.
TQ0017,Do you have any musicians in your family?,"Not really, but my mom and grandma used to like to sing."
TQ0188,Do you have any pets?,I do have a cat and a dog at home. Their names are Mia and Oscar.
TQ0012,Do you have any siblings?,I have a brother.
TQ0032,Do you have to wear a head-scarf/abaya when you go out?,"No. Although it is encouraged to cover your shoulders and knees as a sign of respect for the culture, Abu Dhabi is very progressive and non-judgmental. 
"
TQ0288,Do you judge a book by its cover?,"I do my best not to, but of course I do in the beginning of meeting someone or learning a concept."
TQ0047,Do you keep in touch with your old friends?,I skype my old friends a lot.
TQ0176,Do you miss home a lot?,"I’ve lived abroad before so I’m used to being away, so no, I don’t miss home too much. Plus, I skype my family often."
TQ0100,Do you play any instruments?,"I play the piano, flute, a little bit of cello and ukulele."
TQ0068,Do you play volleyball for the team at NYUAD?,"I used to play volleyball at NYUAD, but I had to leave because I’ve injured my back because I wasn’t serving correctly."
TQ0073,Do you speak Russian?,"I speak Romanian, Russian, French, English and Spanish."
TQ0094,Do you want to be a DJ in the future?,"I don’t think so, I just find it really fun."
TQ0240,Have you been in competitions?,"I have! I won an a cappella competition back in Moldova and took 2nd place at piano in Poland when I was a teenager, but now I’m focusing on learning and creating, not competing."
TQ0264,Have you ever had a secret admirer?,"Oh my god, yes! Someone once wrote anonymously a long post in a group designated for compliments, and I’m still not sure who that was."
TQ0246,Have you ever performed in the street?,"Of course! I’ve done it a couple of times with my guitarist friends - I was singing. It was great. We barely got any money for it, but I was happy to just be there and make music."
TQ0046,Have you made friends at the university?,I sure made a lot of friends at university.
MEQA0001,Hi.,Hello!
MEQA0002,Hi.,Hey!
MEQA0101,How are you enjoying Boxing?,I completely love this class!
TQ0157,How come Moldovans speak both of those languages?,"Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages."
TQ0019,How come you went to study so far away?,Because I love the idea of it!
TQ0020,How come you went to study so far away?,Because the UAE is a great place.
TQ0021,How come you went to study so far away?,"Well, NYUAD offers a good scholarship and it’s a good university."
TQ0035,How did you apply here?,I applied online!
TQ0034,How did you apply here?,You should google it!
TQ0031,How did you convince your parents to study at NYUAD?,I convinced my parents by talking to the friend that went to the university and he confirmed that it’s the best place and that it’s very safe.
TQ0026,How did you find out about NYUAD?,My brother’s friend went here.
TQ0323,How did you find x?,That’s a good question.
TQ0087,How did you hurt your vocal chords?,"I overused my voice and so my vocal folds developed a nodule, or a bruise."
TQ0136,How did you know that music is your passion?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I’d be a singer."
